2025-08-04 01:23:26,799 INFO    MainThread:1508 [wandb_init.py:setup_run_log_directory():647] Logging user logs to c:\UNIFI\LM Bio UniFi\II ANNO\SECONDO SEMESTRE\APPLI OF MACHINE LEARNING\AML_Labs\Exercise\wandb\run-20250804_012326-0ymvmp83\logs\debug.log
2025-08-04 01:23:26,800 INFO    MainThread:1508 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to c:\UNIFI\LM Bio UniFi\II ANNO\SECONDO SEMESTRE\APPLI OF MACHINE LEARNING\AML_Labs\Exercise\wandb\run-20250804_012326-0ymvmp83\logs\debug-internal.log
2025-08-04 01:23:26,800 INFO    MainThread:1508 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000002B6D8D17E50>
2025-08-04 01:23:26,800 INFO    MainThread:1508 [wandb_init.py:init():761] calling init triggers
2025-08-04 01:23:26,800 INFO    MainThread:1508 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-08-04 01:23:26,800 INFO    MainThread:1508 [wandb_init.py:init():784] starting backend
2025-08-04 01:23:26,800 INFO    MainThread:1508 [wandb_init.py:init():788] sending inform_init request
2025-08-04 01:23:26,802 INFO    MainThread:1508 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-08-04 01:23:26,802 INFO    MainThread:1508 [wandb_init.py:init():798] backend started and connected
2025-08-04 01:23:26,812 INFO    MainThread:1508 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-08-04 01:23:26,864 INFO    MainThread:1508 [wandb_init.py:init():891] updated telemetry
2025-08-04 01:23:26,909 INFO    MainThread:1508 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-08-04 01:23:27,424 INFO    MainThread:1508 [wandb_init.py:init():990] starting run threads in backend
2025-08-04 01:23:27,641 INFO    MainThread:1508 [wandb_run.py:_console_start():2375] atexit reg
2025-08-04 01:23:27,641 INFO    MainThread:1508 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-08-04 01:23:27,642 INFO    MainThread:1508 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-08-04 01:23:27,642 INFO    MainThread:1508 [wandb_run.py:_redirect():2315] Redirects installed.
2025-08-04 01:23:27,642 INFO    MainThread:1508 [wandb_init.py:init():1032] run started, returning control to user process
2025-08-04 01:27:50,195 INFO    MainThread:1508 [wandb_run.py:_finish():2112] finishing run emile-agbedanu-none/AML_ResMLP/0ymvmp83
2025-08-04 01:27:50,196 INFO    MainThread:1508 [jupyter.py:save_history():458] not saving jupyter history
2025-08-04 01:27:50,196 INFO    MainThread:1508 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-08-04 01:27:50,196 INFO    MainThread:1508 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-08-04 01:27:50,196 INFO    MainThread:1508 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-08-04 01:27:50,198 INFO    MainThread:1508 [wandb_run.py:_restore():2322] restore
2025-08-04 01:27:50,198 INFO    MainThread:1508 [wandb_run.py:_restore():2328] restore done
2025-08-04 01:27:51,416 INFO    MainThread:1508 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-08-04 01:27:51,416 INFO    MainThread:1508 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-08-04 01:27:51,418 INFO    MainThread:1508 [wandb_run.py:_footer_sync_info():3917] logging synced files
